,B cell,T cell,ciliated columnar cell of tracheobronchial tree,classical monocyte,leukocyte,lung endothelial cell,myeloid cell,natural killer cell,stromal cell
0,0.2617673179396092,0.0017761989342806395,0.009103019538188277,0.011989342806394316,0.003108348134991119,0.23867673179396093,0.08969804618117229,0.2839698046181172,0.09991119005328597
1,0.1179981634527089,0.0945821854912764,0.01652892561983471,0.012855831037649219,0.0027548209366391185,0.30808080808080807,0.0009182736455463728,0.3044077134986226,0.1418732782369146
2,7.693491306354824e-05,0.06593322049546084,0.0,0.059239883058932144,0.14063702108016618,0.07039544545314663,0.09932297276504078,0.11263271272503463,0.45176180950915523
3,0.14034555926038195,0.0001515610791148833,0.0013640497120339496,0.06289784783267657,0.1016974840860867,0.23810245528948165,0.3219157320400121,0.0871476204910579,0.04637769020915429
4,0.0007000572774136065,0.03773945140966079,0.0633233628205944,0.030866161776872653,0.5217335963851588,0.32718131483485013,0.010246292878508242,0.0005727741360656781,0.007636988480875708
5,0.4839860826121866,0.0014274243911142832,0.04656972076010349,0.05968418235346597,0.03836203051119636,0.04862164332233027,0.047729503077883845,0.1627263805870283,0.11089303238469088
6,0.047141590959450475,0.052071792599157986,0.22961444715267007,0.07733215156215378,0.40034345224905826,0.06608686018169732,0.0008863283846665189,0.004043873255040993,0.12247950365610459
7,0.11074053486504848,0.1921437835834723,0.0121672534123896,0.5213390155024397,0.06645667346056451,0.000988203322833673,0.05583348774010253,0.020381693533444507,0.019949354579704773
8,0.04154078549848943,0.2926737160120846,0.014161631419939577,0.055513595166163145,0.006986404833836858,0.04380664652567976,0.4767749244712991,0.06703172205438067,0.0015105740181268882
9,0.0011222199551112018,0.0008161599673536013,0.7200571311977148,0.014588859416445624,0.03111609875535605,0.010201999591920016,0.021424199143032036,0.19832687206692512,0.0023464599061416035
10,0.1526145115524929,0.3958248885285772,0.026854479124442644,0.2605391163356303,0.008309687880016214,0.08390758005674909,0.05634373733279287,0.0,0.015605999189298744
11,0.058045977011494256,0.24529780564263323,0.0024033437826541273,0.3163531870428422,0.06901776384535005,0.16426332288401255,0.008725182863113898,0.03432601880877743,0.10156739811912226
12,0.0037481832785129657,0.008796756674061042,0.0036716897422167825,0.03266273999847013,0.08597873479690966,0.16231928402050028,0.5922129580050486,0.004742599250363344,0.10586705423391723
13,0.11452953065349203,0.03963620031439479,0.253087805973501,0.12384909050078599,0.11744891084662025,0.024927015495171793,0.0025825286323826633,0.2909274646305861,0.03301145295306535
14,0.15952797202797203,0.09047202797202797,0.2465034965034965,0.06687062937062938,0.10052447552447552,0.0,0.0,0.05856643356643357,0.27753496503496505
15,0.024787204190440556,0.4718922458142363,0.0,0.044242821064446734,0.11879150687494154,0.04957440838088111,0.13076419418202226,0.15050042091478813,0.009447198578243382
16,0.04181888098442607,0.019130936358392615,0.009228994424149203,0.0007690828686791001,0.20130744087675448,0.0030763314747164006,0.35348971351663144,0.3407998461834263,0.030378773312824455
17,0.07701637355973318,0.24317768344451182,0.007883565797453002,0.13462704669496664,0.027895694360218316,0.041237113402061855,0.35779260157671317,0.09157064887810794,0.01879927228623408
18,0.01178318931657502,0.33857030636292224,0.20267085624509035,0.003927729772191673,0.0204241948153967,0.004713275726630008,0.1201885310290652,0.27965435978004716,0.018067556952081697
19,0.014760147601476014,0.5968634686346863,0.2301660516605166,0.00023062730627306272,0.0426660516605166,0.03782287822878229,0.02214022140221402,0.003459409594095941,0.05189114391143911
20,0.029137245353461568,0.19608797987176366,0.0006492979465952439,0.0023537050564077593,0.14755295836376917,0.004220436652869085,0.5918350783215648,0.00040581121662202745,0.027757487216946677
21,0.0012008405884118883,0.09719303512458721,0.006154308015610927,0.038126688682077456,0.47793455418793157,0.09951966376463524,0.18395376763734614,0.004803362353647553,0.09111377964575203
22,0.06481481481481481,0.00021915406530791147,0.0003287310979618672,0.38576594345825116,0.0010409818102125794,0.002136752136752137,0.24271312732851194,0.2837497260574184,0.019230769230769232
23,0.49365914011753786,0.09959789669038045,0.11289823693164244,0.005258274048871018,0.03680791834209712,0.008351376430559852,0.22053819981441386,0.022888957624497372,0.0
24,0.24292035398230089,0.027876106194690265,0.00752212389380531,0.37256637168141593,0.019469026548672566,0.023451327433628318,0.168141592920354,0.0831858407079646,0.05486725663716814
25,0.13705263157894737,0.06757894736842106,0.056842105263157895,0.0,0.2806315789473684,0.016,0.027157894736842107,0.0006315789473684211,0.41410526315789475
26,0.019,0.0585,0.01325,0.0065,0.0005,0.363,0.1145,0.00175,0.423
27,0.0016841767583607346,0.03151816504932232,0.03328254070093833,0.1802069131445986,0.07731173309808324,0.00016039778651054615,0.1280776325286711,0.02221509343171064,0.5255433475018044
28,0.0,0.3485915492957746,0.25704225352112675,0.09859154929577464,0.0,0.0,0.0,0.0880281690140845,0.20774647887323944
29,0.006723309937199852,0.15751754710011082,0.0027336534909493905,0.1805688954562246,0.02667159216845216,0.021721462874030293,0.018175101588474327,0.558256372367935,0.027632065016623568
30,0.05373089147873467,0.06644467988497049,0.06947177236264568,0.00015135462388375965,0.21583169365824126,0.2051611926744362,0.053352504919025275,0.2832601785984562,0.05259573179960648
31,0.0737014212048799,0.1262734247264495,0.11935605584203245,0.008175072317947427,0.27581436297321094,0.242359451641303,0.0008803924034712615,0.08715884794365489,0.06628097094705068
32,0.26973226703755215,0.36439499304589706,0.022253129346314324,0.17333101529902642,0.01816759388038943,0.010865785813630041,0.000260778859527121,0.07432197496522948,0.06667246175243394
33,0.21393034825870647,0.06011608623548922,0.12824765063571034,0.0,0.1865671641791045,0.10793255942509673,0.03109452736318408,0.23037589828634605,0.04173576561636263
34,0.005270092226613966,0.0,0.00922266139657444,0.16205533596837945,0.23847167325428195,0.08959156785243742,0.0013175230566534915,0.005270092226613966,0.4888010540184453
35,0.04939865063068349,0.0005280140803754767,0.00316808448225286,0.08014080375476679,0.0,0.0004106776180698152,0.01830448811968319,0.39043707832208857,0.4576122029920798
36,0.1882752408010533,0.34356593444667727,0.0011780195412653316,0.00852331785739034,0.19381886217171368,0.00020788580139976439,0.06555332270805904,0.15182593028896127,0.04705148638348001
37,0.0,0.00010554089709762533,0.3145118733509235,0.008970976253298154,0.015303430079155673,0.47862796833773086,0.1399472295514512,0.008654353562005277,0.03387862796833773
38,0.27420107301142993,0.04595288080242594,0.0025658968975973873,0.38581758805691624,0.0417541404245393,0.1198973641240961,0.10858409143923489,0.00046652670865407047,0.020760438535106136
39,0.19236299728391118,0.28849123928210046,0.02503062257016563,0.006231027320658252,0.047132129733184217,0.012408797997550194,0.13995845981786229,0.17702508387921392,0.11135964211535389
40,0.24504293038482922,0.19680029649762185,0.0762245969485453,0.07708938167891778,0.14028043733399223,0.023843350423126814,0.016801531904379517,0.014824881092099574,0.20909259373648773
41,0.00016972165648336727,0.021384928716904276,0.062118126272912425,0.007807196198234894,0.03988458927359131,0.3158520027155465,0.07399864222674814,0.46877121520706044,0.01001357773251867
42,0.005559169672955231,0.011650600272044473,0.08587142941628718,0.4644272281033769,0.015494706960790111,0.2188183807439825,0.015908687681116564,0.0004731208232302324,0.1817966763262168
43,0.21621621621621623,0.06756756756756757,0.46621621621621623,0.02027027027027027,0.17342342342342343,0.006756756756756757,0.02252252252252252,0.02702702702702703,0.0
44,0.24207903168387326,0.00088999644001424,0.12121751512993947,0.006585973656105376,0.23567105731577073,0.074937700249199,0.000177999288002848,0.27803488786044855,0.04040583837664649
45,0.00032265003226500323,0.40094644009464403,0.013336201333620134,0.033340503334050337,0.0013443751344375135,0.12126263712626371,0.3865347386534739,0.0009141750914175091,0.04199827919982792
46,0.028875902371949123,0.06691875787785034,0.0710438867881288,0.07516901569840724,0.046980634811504524,0.060845651426607084,0.35315686948550473,0.2551850578663917,0.04182422367365647
47,0.08252354612049634,0.003064733143967708,0.12782179698011661,0.002915233966213186,0.07691732695470174,0.02683510240693676,0.5213036328300195,0.038421288682912245,0.12019733891463596
48,0.045532296163557875,0.029893296407917245,0.01897857782845972,0.08503706117129592,0.23336319947870002,0.17430968477641118,0.08682902989329641,0.32483505742445223,0.001221796855909424
49,0.0038910505836575876,0.07626459143968872,0.02178988326848249,0.008560311284046693,0.013229571984435798,0.12295719844357976,0.1649805447470817,0.47392996108949415,0.11439688715953307
50,0.0006051175656984786,0.01884508990318119,0.251469571230982,0.00233402489626556,0.0035442600276625173,0.012880359612724757,0.024896265560165973,0.6853388658367912,8.644536652835408e-05
51,0.06504280878741621,0.1807260901307493,0.0033185106524191944,0.001725625539257981,0.13605893674918695,0.09006437910665693,0.04805203424702993,0.01314130218358001,0.4618703126037035
52,0.04998856097002974,0.00022878059940517045,0.015385495309997712,0.5166437886067261,0.21533973919011667,0.1548844657973004,0.031171356668954472,0.0050903683367650426,0.011267444520704644
53,0.0006796674857531238,0.00020912845715480733,0.012495425314999739,0.2960213311026298,0.021906205886966068,0.007633188686150468,0.10738746274899356,0.3503947299628797,0.20327286035447273
54,0.0544987146529563,0.15496143958868894,0.07444730077120823,0.06313624678663239,0.5602056555269923,0.007095115681233933,0.0442159383033419,0.015629820051413883,0.025809768637532135
55,0.0666553882591778,0.06259516156318728,0.017763491794958553,0.05819658264253087,0.009812214515310438,0.14176958213500254,0.6009135510065978,0.025883945186939605,0.016410082896295045
56,0.28370617513537166,0.0,0.07695673576546519,0.11332932232128207,0.019635727178253022,0.4197888749111196,0.06902587102773068,0.007329212930044304,0.010228080730733469
57,0.0073009618727546645,0.025727198980183105,0.2119596708772743,0.1548267470158767,0.08007880403291227,0.25692432495074746,0.09039286128172441,0.09444895121103257,0.07834047977749449
58,0.26264997391757955,0.004173187271778821,0.040166927490871154,0.2498695878977569,0.003390714658320292,0.3489827856025039,0.07198748043818466,0.0,0.018779342723004695
59,0.18978049658150414,0.021014753508456278,0.23080244692335372,0.0028787333573227778,0.19489024829075208,0.172004318100036,0.04296509535804246,0.12824757106872975,0.017416336811802807
60,0.45596490096135234,0.0014194464158978,0.1174914510613588,0.08574746757855345,0.23582166591392992,0.0021291696238466998,0.05832634363507323,0.04103490547777276,0.0020646493322149817
61,0.0013310515307092604,0.017113519680547633,0.05780566647651645,0.002852253280091272,0.3804905875641757,0.15421182734360145,0.0,0.26506940482981556,0.12112568929454269
62,0.0031317283225680173,0.02916422000391466,0.0035231943628890195,0.5558817772558231,0.003327461342728518,0.21256605989430416,0.011743981209630064,0.0182031708749266,0.1624584067332159
63,0.16751315073462725,0.1856520950480682,0.003899873027389806,0.013422818791946308,0.004716125521494649,0.19599129330672954,0.00036277888626881915,0.0,0.42844186468347545
64,0.18976119708926925,0.0012811314953366814,0.005636978579481398,0.07133340166034642,0.30808650199856513,0.08045505790714359,0.29619760172184073,0.04478835707697038,0.0024597724710464283
